,qualifyId,raceId,driverId,constructorId,number_x,position,q1,q2,q3,driverRef,number_y,code,forename,surname,dob,nationality_x,url_x,year,round,circuitId,name_x,date,time,url_y,fp1_date,fp1_time,fp2_date,fp2_time,fp3_date,fp3_time,quali_date,quali_time,sprint_date,sprint_time,constructorRef,name_y,nationality_y,url
0,1,18,1,1,22,1,1900-01-01 00:01:26.572,1:25.187,1:26.714,hamilton,44,HAM,Lewis,Hamilton,1985-01-07,British,http://en.wikipedia.org/wiki/Lewis_Hamilton,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
1,2,18,9,2,4,2,1900-01-01 00:01:26.103,1:25.315,1:26.869,kubica,88,KUB,Robert,Kubica,1984-12-07,Polish,http://en.wikipedia.org/wiki/Robert_Kubica,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
2,3,18,5,1,23,3,1900-01-01 00:01:25.664,1:25.452,1:27.079,kovalainen,,KOV,Heikki,Kovalainen,1981-10-19,Finnish,http://en.wikipedia.org/wiki/Heikki_Kovalainen,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,mclaren,McLaren,British,http://en.wikipedia.org/wiki/McLaren
3,4,18,13,6,2,4,1900-01-01 00:01:25.994,1:25.691,1:27.178,massa,19,MAS,Felipe,Massa,1981-04-25,Brazilian,http://en.wikipedia.org/wiki/Felipe_Massa,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,ferrari,Ferrari,Italian,http://en.wikipedia.org/wiki/Scuderia_Ferrari
4,5,18,2,2,3,5,1900-01-01 00:01:25.960,1:25.518,1:27.236,heidfeld,,HEI,Nick,Heidfeld,1977-05-10,German,http://en.wikipedia.org/wiki/Nick_Heidfeld,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,bmw_sauber,BMW Sauber,German,http://en.wikipedia.org/wiki/BMW_Sauber
5,6,18,15,7,11,6,1900-01-01 00:01:26.427,1:26.101,1:28.527,trulli,,TRU,Jarno,Trulli,1974-07-13,Italian,http://en.wikipedia.org/wiki/Jarno_Trulli,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing
6,7,18,3,3,7,7,1900-01-01 00:01:26.295,1:26.059,1:28.687,rosberg,6,ROS,Nico,Rosberg,1985-06-27,German,http://en.wikipedia.org/wiki/Nico_Rosberg,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,williams,Williams,British,http://en.wikipedia.org/wiki/Williams_Grand_Prix_Engineering
7,8,18,14,9,9,8,1900-01-01 00:01:26.381,1:26.063,1:29.041,coulthard,,COU,David,Coulthard,1971-03-27,British,http://en.wikipedia.org/wiki/David_Coulthard,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,red_bull,Red Bull,Austrian,http://en.wikipedia.org/wiki/Red_Bull_Racing
8,9,18,10,7,12,9,1900-01-01 00:01:26.919,1:26.164,1:29.593,glock,,GLO,Timo,Glock,1982-03-18,German,http://en.wikipedia.org/wiki/Timo_Glock,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,toyota,Toyota,Japanese,http://en.wikipedia.org/wiki/Toyota_Racing
9,10,18,20,5,15,10,1900-01-01 00:01:26.702,1:25.842,,vettel,5,VET,Sebastian,Vettel,1987-07-03,German,http://en.wikipedia.org/wiki/Sebastian_Vettel,2008,1,1,Australian Grand Prix,2008-03-16,04:30:00,http://en.wikipedia.org/wiki/2008_Australian_Grand_Prix,,,,,,,,,,,toro_rosso,Toro Rosso,Italian,http://en.wikipedia.org/wiki/Scuderia_Toro_Rosso
